station_name,total_trips,start_lat,start_lng,station_category
W 21 St & 6 Ave,2549.0,40.74173969,-73.99415556,High Usage
W 21 St & 6 Ave,2549.0,40.74174,-73.994156,High Usage
W 21 St & 6 Ave,2549.0,40.741785884,-73.993963003,High Usage
W 21 St & 6 Ave,2549.0,40.741827488,-73.994192958,High Usage
W 21 St & 6 Ave,2549.0,40.741940618,-73.993929625,High Usage
W 21 St & 6 Ave,2549.0,40.741613626,-73.994113445,High Usage
W 21 St & 6 Ave,2549.0,40.741612911,-73.994012237,High Usage
W 21 St & 6 Ave,2549.0,40.741651773,-73.99409163,High Usage
W 21 St & 6 Ave,2549.0,40.741612315,-73.99408102,High Usage
W 21 St & 6 Ave,2549.0,40.741771579,-73.994031429,High Usage
W 21 St & 6 Ave,2549.0,40.741685987,-73.993956327,High Usage
W 21 St & 6 Ave,2549.0,40.741723776,-73.993960261,High Usage
W 21 St & 6 Ave,2549.0,40.741680503,-73.994029522,High Usage
W 21 St & 6 Ave,2549.0,40.742080569,-73.994080901,High Usage
W 21 St & 6 Ave,2549.0,40.741813183,-73.994348764,High Usage
W 21 St & 6 Ave,2549.0,40.741705298,-73.994138241,High Usage
W 21 St & 6 Ave,2549.0,40.74189496,-73.994193673,High Usage
W 21 St & 6 Ave,2549.0,40.74188292,-73.994296908,High Usage
W 21 St & 6 Ave,2549.0,40.741770148,-73.993858933,High Usage
W 21 St & 6 Ave,2549.0,40.74168551,-73.993957281,High Usage
W 21 St & 6 Ave,2549.0,40.741846323,-73.994167447,High Usage
W 21 St & 6 Ave,2549.0,40.741721869,-73.994215012,High Usage
W 21 St & 6 Ave,2549.0,40.741848588,-73.994347692,High Usage
W 21 St & 6 Ave,2549.0,40.741719365,-73.994116187,High Usage
W 21 St & 6 Ave,2549.0,40.741851807,-73.994416714,High Usage
W 21 St & 6 Ave,2549.0,40.741763949,-73.994208813,High Usage
W 21 St & 6 Ave,2549.0,40.741854429,-73.994320869,High Usage
W 21 St & 6 Ave,2549.0,40.741887093,-73.994058251,High Usage
W 21 St & 6 Ave,2549.0,40.74187088,-73.994314313,High Usage
W 21 St & 6 Ave,2549.0,40.741747856,-73.994198322,High Usage
W 21 St & 6 Ave,2549.0,40.741997242,-73.993948698,High Usage
W 21 St & 6 Ave,2549.0,40.741644979,-73.994257927,High Usage
W 21 St & 6 Ave,2549.0,40.741606474,-73.994071603,High Usage
W 21 St & 6 Ave,2549.0,40.741708398,-73.994045258,High Usage
W 21 St & 6 Ave,2549.0,40.741698623,-73.994077682,High Usage
W 21 St & 6 Ave,2549.0,40.741776586,-73.994258285,High Usage
W 21 St & 6 Ave,2549.0,40.741782546,-73.994155288,High Usage
W 21 St & 6 Ave,2549.0,40.741650701,-73.99402535,High Usage
W 21 St & 6 Ave,2549.0,40.741691351,-73.994053602,High Usage
W 21 St & 6 Ave,2549.0,40.741835237,-73.994427204,High Usage
W 21 St & 6 Ave,2549.0,40.741642237,-73.994185686,High Usage
W 21 St & 6 Ave,2549.0,40.741754532,-73.994242072,High Usage
W 21 St & 6 Ave,2549.0,40.741595984,-73.994065881,High Usage
W 21 St & 6 Ave,2549.0,40.741697073,-73.994062185,High Usage
W 21 St & 6 Ave,2549.0,40.741722107,-73.994073749,High Usage
W 21 St & 6 Ave,2549.0,40.741714478,-73.994156241,High Usage
