,start_station_name,value
1556,W 21 St & 6 Ave,1267
1686,West St & Chambers St,1251
491,Broadway & W 58 St,1124
284,6 Ave & W 33 St,1104
8,1 Ave & E 68 St,1050
1481,University Pl & E 14 St,1003
459,Broadway & E 21 St,990
1572,W 31 St & 7 Ave,986
481,Broadway & W 25 St,985
779,E 33 St & 1 Ave,970
457,Broadway & E 14 St,969
556,Central Park S & 6 Ave,902
583,Cleveland Pl & Spring St,901
1687,West St & Liberty St,891
29,12 Ave & W 40 St,887
285,6 Ave & W 34 St,881
1091,Lafayette St & E 8 St,878
787,E 40 St & Park Ave,848
24,11 Ave & W 41 St,836
953,Grand Army Plaza & Central Park S,822
