date,avgTemp
2022-01-01,2.0
2022-01-02,-4.6
2022-01-03,-9.2
2022-01-04,-3.6
2022-01-05,-4.6
2022-01-06,-11.7
2022-01-07,-14.4
2022-01-08,-8.0
2022-01-09,-2.4
2022-01-10,-10.6
2022-01-11,-10.5
2022-01-12,2.3
2022-01-13,1.9
2022-01-14,0.8
2022-01-15,-4.0
2022-01-16,-6.9
2022-01-17,-3.8
2022-01-18,-2.0
2022-01-19,-1.1
2022-01-20,-10.9
2022-01-21,-10.0
2022-01-22,-5.0
2022-01-23,-7.1
2022-01-24,-8.6
2022-01-25,-12.4
2022-01-26,-16.6
2022-01-27,-6.4
2022-01-28,-5.8
2022-01-29,-10.1
2022-01-30,-6.3
2022-01-31,-1.9
2022-02-01,2.8
2022-02-02,-3.4
2022-02-03,-7.8
2022-02-04,-7.4
2022-02-05,-10.8
2022-02-06,-5.4
2022-02-07,-3.7
2022-02-08,-4.4
2022-02-09,2.4
2022-02-10,-0.1
2022-02-11,2.4
2022-02-12,-5.8
2022-02-13,-9.2
2022-02-14,-8.4
2022-02-15,-2.2
2022-02-16,7.6
2022-02-17,1.8
2022-02-18,-8.3
2022-02-19,-7.1
2022-02-20,-1.4
2022-02-21,4.2
2022-02-22,3.4
2022-02-23,-5.9
2022-02-24,-4.6
2022-02-25,-3.7
2022-02-26,-6.2
2022-02-27,0.2
2022-02-28,2.6
2022-03-01,6.9
2022-03-02,5.2
2022-03-03,1.1
2022-03-04,0.6
2022-03-05,9.2
2022-03-06,8.6
2022-03-07,1.3
2022-03-08,0.1
2022-03-09,1.3
2022-03-10,-2.3
2022-03-11,-4.3
2022-03-12,-8.1
2022-03-13,-0.3
2022-03-14,9.1
2022-03-15,6.2
2022-03-16,9.7
2022-03-17,14.6
2022-03-18,7.0
2022-03-19,4.3
2022-03-20,7.4
2022-03-21,13.3
2022-03-22,12.1
2022-03-23,11.0
2022-03-24,7.3
2022-03-25,5.2
2022-03-26,0.7
2022-03-27,-1.7
2022-03-28,-1.9
2022-03-29,0.8
2022-03-30,10.0
2022-03-31,6.7
2022-04-01,2.6
2022-04-02,2.4
2022-04-03,4.4
2022-04-04,6.7
2022-04-05,7.5
2022-04-06,10.7
2022-04-07,6.1
2022-04-08,3.7
2022-04-09,3.8
2022-04-10,7.3
2022-04-11,13.8
2022-04-12,12.8
2022-04-13,19.1
2022-04-14,6.6
2022-04-15,7.6
2022-04-16,4.9
2022-04-17,2.7
2022-04-18,2.5
2022-04-19,4.6
2022-04-20,7.4
2022-04-21,12.9
2022-04-22,11.2
2022-04-23,17.3
2022-04-24,21.3
2022-04-25,11.8
2022-04-26,5.9
2022-04-27,3.4
2022-04-28,5.6
2022-04-29,11.9
2022-04-30,14.2
2022-05-01,12.6
2022-05-02,9.9
2022-05-03,9.0
2022-05-04,7.8
2022-05-05,8.9
2022-05-06,9.3
2022-05-07,12.1
2022-05-08,12.3
2022-05-09,18.8
2022-05-10,25.1
2022-05-11,28.2
2022-05-12,27.5
2022-05-13,26.7
2022-05-14,25.2
